
209  03:00:03 up 22:15,  0 users,  load average: 0.50, 0.23, 0.09
205  03:15:02 up 22:32,  0 users,  load average: 0.00, 0.00, 0.00
214  03:30:03 up 22:44,  0 users,  load average: 0.00, 0.00, 0.01
210 218  04:00:03 up 23:12,  0 users,  load average: 0.06, 0.02, 0.00
203  04:15:03 up 23:32,  0 users,  load average: 0.00, 0.00, 0.00
202  04:30:03 up 23:48,  0 users,  load average: 0.43, 0.34, 0.21
215  04:45:13 up 23:58,  0 users,  load average: 0.00, 0.00, 0.01
219  05:00:13 up 2 days, 12 min,  0 users,  load average: 0.06, 0.06, 0.01
227  05:15:02 up 2 days, 24 min,  0 users,  load average: 0.00, 0.00, 0.00
206  05:30:13 up 2 days, 46 min,  0 users,  load average: 0.25, 0.20, 0.10
210 222  06:00:12 up 2 days,  1:11,  1 user,  load average: 0.13, 0.12, 0.10
207  06:15:12 up 2 days,  1:31,  0 users,  load average: 0.00, 0.00, 0.00
234  06:30:13 up 2 days,  1:37,  0 users,  load average: 0.00, 0.00, 0.00
219  06:45:12 up 2 days,  1:57,  0 users,  load average: 0.00, 0.00, 0.00
231  07:00:12 up 2 days,  2:07,  0 users,  load average: 0.07, 0.16, 0.09
224  07:15:13 up 2 days,  2:25,  2 users,  load average: 0.00, 0.02, 0.05
235  07:30:13 up 2 days,  2:37,  0 users,  load average: 0.00, 0.00, 0.00
206  07:45:03 up 2 days,  3:01,  0 users,  load average: 0.02, 0.01, 0.00
233  08:00:12 up 2 days,  3:07,  0 users,  load average: 0.00, 0.00, 0.00
228  08:15:13 up 2 days,  3:24,  0 users,  load average: 0.43, 0.13, 0.04
204  08:30:13 up 2 days,  3:47,  0 users,  load average: 0.00, 0.00, 0.00
205  08:45:03 up 2 days,  4:02,  0 users,  load average: 0.00, 0.00, 0.00
210 234  09:15:02 up 2 days,  4:22,  0 users,  load average: 0.00, 0.00, 0.00
205  09:30:03 up 2 days,  4:47,  0 users,  load average: 0.15, 0.03, 0.01
209  09:45:02 up 2 days,  5:00,  1 user,  load average: 0.01, 0.17, 0.15
204  10:00:03 up 2 days,  5:17,  0 users,  load average: 0.00, 0.02, 0.03
235  10:15:02 up 2 days,  5:21,  1 user,  load average: 0.08, 0.02, 0.03
207  10:30:03 up 2 days,  5:46,  0 users,  load average: 0.08, 0.02, 0.01
236  10:45:02 up 44 days,  3:45,  2 users,  load average: 0.00, 0.00, 0.00
209  11:00:02 up 2 days,  6:15,  2 users,  load average: 0.39, 0.23, 0.10
212  11:15:03 up 2 days,  6:29,  0 users,  load average: 0.00, 0.00, 0.00
219  11:30:02 up 2 days,  6:42,  6 users,  load average: 0.01, 0.01, 0.03
201  11:45:02 up 2 days,  7:04,  5 users,  load average: 0.02, 0.01, 0.00
215  12:00:03 up 2 days,  7:13,  8 users,  load average: 0.00, 0.01, 0.00
235  12:15:12 up 2 days,  7:22,  6 users,  load average: 0.00, 0.00, 0.00
207  12:30:02 up 2 days,  7:46,  2 users,  load average: 0.00, 0.01, 0.00
234  12:45:03 up 2 days,  7:52,  0 users,  load average: 0.00, 0.05, 0.07
205  13:00:02 up 2 days,  8:17,  0 users,  load average: 0.00, 0.00, 0.00
213  13:15:02 up 2 days,  8:29,  3 users,  load average: 1.04, 1.01, 1.00
211  13:30:03 up 2 days,  8:45,  4 users,  load average: 0.12, 0.04, 0.01
230  13:45:03 up 2 days,  8:53,  7 users,  load average: 0.00, 0.00, 0.00
231  14:00:03 up 2 days,  9:07,  0 users,  load average: 0.00, 0.11, 0.09
228  14:15:02 up 2 days,  9:24,  1 user,  load average: 0.00, 0.06, 0.08
205  14:30:03 up 2 days,  9:47,  0 users,  load average: 0.00, 0.00, 0.00
217  14:45:03 up 2 days,  9:57,  3 users,  load average: 0.01, 0.02, 0.00
216  15:00:03 up 2 days, 10:14,  0 users,  load average: 0.03, 0.01, 0.00
231  15:15:03 up 2 days, 10:22,  2 users,  load average: 0.14, 0.12, 0.04
202  15:30:02 up 2 days, 10:48,  2 users,  load average: 0.01, 0.10, 0.09
211  15:45:03 up 2 days, 11:00,  2 users,  load average: 0.02, 0.01, 0.00
216  16:00:03 up 2 days, 11:14,  1 user,  load average: 0.12, 0.03, 0.01
203  16:15:02 up 2 days, 11:32,  3 users,  load average: 0.00, 0.00, 0.00
219  16:30:03 up 2 days, 11:42,  2 users,  load average: 0.00, 0.00, 0.00
206  16:45:03 up 2 days, 12:01,  8 users,  load average: 0.00, 0.04, 0.05
222  17:00:03 up 2 days, 12:11,  4 users,  load average: 0.00, 0.01, 0.03
223  17:15:03 up 2 days, 12:25,  6 users,  load average: 0.18, 0.08, 0.02
202  17:30:03 up 2 days, 12:48,  1 user,  load average: 0.00, 0.01, 0.00
227  17:45:03 up 2 days, 12:54,  2 users,  load average: 0.00, 0.00, 0.00
226  18:00:02 up 2 days, 13:10,  1 user,  load average: 0.07, 0.12, 0.05
214  18:15:03 up 2 days, 13:29,  0 users,  load average: 0.00, 0.00, 0.00
206  18:30:03 up 2 days, 13:46,  7 users,  load average: 0.00, 0.00, 0.00
210 210 233  19:15:02 up 2 days, 14:22,  1 user,  load average: 0.00, 0.00, 0.00
228  19:30:02 up 2 days, 14:39,  2 users,  load average: 0.03, 0.08, 0.03
224  19:45:03 up 2 days, 14:55,  3 users,  load average: 0.00, 0.00, 0.00
231  20:00:02 up 2 days, 15:07,  2 users,  load average: 0.14, 0.05, 0.01
219  20:15:03 up 2 days, 15:27,  8 users,  load average: 0.00, 0.00, 0.00
206  20:30:02 up 2 days, 15:46,  4 users,  load average: 0.00, 0.00, 0.00
233  20:45:02 up 2 days, 15:52,  2 users,  load average: 0.03, 0.03, 0.00
205  21:00:03 up 2 days, 16:17,  4 users,  load average: 0.00, 0.00, 0.00
207  21:15:03 up 2 days, 16:31,  1 user,  load average: 0.00, 0.00, 0.00
213  21:30:03 up 2 days, 16:44,  7 users,  load average: 0.04, 0.01, 0.00
227  21:45:03 up 2 days, 16:54,  4 users,  load average: 0.00, 0.00, 0.00
201  22:00:28 up 2 days, 17:19, 12 users,  load average: 0.30, 0.18, 0.07
208  22:15:04 up 2 days, 17:30,  1 user,  load average: 0.41, 0.29, 0.16
204  22:30:03 up 2 days, 17:47,  0 users,  load average: 0.35, 0.15, 0.10
217  22:45:03 up 2 days, 17:57,  9 users,  load average: 0.00, 0.00, 0.00
234  23:00:03 up 2 days, 18:07,  2 users,  load average: 0.00, 0.00, 0.00
203  23:15:03 up 2 days, 18:32,  3 users,  load average: 0.00, 0.00, 0.00
209  23:30:02 up 2 days, 18:45,  3 users,  load average: 0.02, 0.08, 0.04
201  23:45:38 up 2 days, 19:04,  9 users,  load average: 0.00, 0.00, 0.01
213  00:00:02 up 2 days, 19:14,  9 users,  load average: 0.00, 0.00, 0.00
229  00:15:02 up 2 days, 19:23,  0 users,  load average: 1.00, 1.00, 1.00
218  00:30:03 up 2 days, 19:42,  6 users,  load average: 0.00, 0.00, 0.00
224  00:45:07 up 2 days, 19:55,  0 users,  load average: 0.22, 0.05, 0.02
223  01:00:02 up 2 days, 20:10,  1 user,  load average: 0.29, 0.30, 0.14
229  01:15:02 up 2 days, 20:23,  0 users,  load average: 1.00, 1.08, 1.09
224  01:30:02 up 2 days, 20:40,  0 users,  load average: 0.00, 0.02, 0.09
217  01:45:13 up 2 days, 20:58,  4 users,  load average: 0.00, 0.00, 0.00
232  02:00:03 up 2 days, 21:07,  0 users,  load average: 0.00, 0.00, 0.00
225  02:15:02 up 2 days, 21:25,  0 users,  load average: 0.00, 0.00, 0.00
223  02:30:03 up 2 days, 21:40,  0 users,  load average: 0.01, 0.12, 0.09
226  02:45:03 up 2 days, 21:55,  0 users,  load average: 0.02, 0.09, 0.09
208  03:00:02 up 2 days, 22:15,  0 users,  load average: 0.00, 0.00, 0.00
225  03:15:13 up 2 days, 22:25,  0 users,  load average: 0.00, 0.00, 0.00
227  03:30:03 up 2 days, 22:39,  0 users,  load average: 0.00, 0.00, 0.00
219  03:45:03 up 2 days, 22:57,  0 users,  load average: 0.16, 0.15, 0.08
209  04:00:02 up 2 days, 23:15,  2 users,  load average: 0.00, 0.05, 0.11
226  04:15:13 up 2 days, 23:25,  0 users,  load average: 0.00, 0.00, 0.00
221  04:30:03 up 2 days, 23:41,  0 users,  load average: 0.00, 0.08, 0.13
228  04:45:02 up 2 days, 23:54,  5 users,  load average: 0.00, 0.00, 0.00
227  05:00:12 up 3 days, 9 min,  0 users,  load average: 0.00, 0.00, 0.00
202  05:15:02 up 3 days, 33 min,  0 users,  load average: 0.36, 0.28, 0.20
212  05:30:12 up 3 days, 44 min,  4 users,  load average: 0.00, 0.00, 0.00
206  05:45:13 up 3 days,  1:01,  1 user,  load average: 0.00, 0.00, 0.00
223  06:00:02 up 3 days,  1:10,  0 users,  load average: 0.00, 0.00, 0.00
223  06:15:03 up 3 days,  1:25,  0 users,  load average: 0.00, 0.00, 0.00
233  06:30:13 up 3 days,  1:37,  0 users,  load average: 0.43, 0.12, 0.04
205  06:45:12 up 3 days,  2:02,  0 users,  load average: 0.00, 0.00, 0.00
221  07:00:13 up 3 days,  2:11,  0 users,  load average: 0.00, 0.00, 0.00
235  07:15:02 up 3 days,  2:21,  0 users,  load average: 0.00, 0.00, 0.00
233  07:30:03 up 3 days,  2:37,  0 users,  load average: 0.00, 0.00, 0.00
209  07:45:12 up 3 days,  3:00,  1 user,  load average: 0.40, 0.09, 0.03
212  08:00:13 up 3 days,  3:14,  3 users,  load average: 0.00, 0.04, 0.04
207  08:15:13 up 3 days,  3:31,  0 users,  load average: 0.00, 0.00, 0.00
204  08:30:03 up 3 days,  3:47,  0 users,  load average: 0.00, 0.00, 0.00
216  08:45:12 up 3 days,  3:59,  3 users,  load average: 0.19, 0.05, 0.01
203  09:00:02 up 3 days,  4:17,  3 users,  load average: 0.00, 0.00, 0.00
228  09:15:02 up 3 days,  4:24,  4 users,  load average: 0.41, 0.14, 0.04
226  09:30:03 up 3 days,  4:40,  0 users,  load average: 0.06, 0.11, 0.07
217  09:45:02 up 3 days,  4:57,  6 users,  load average: 0.04, 0.04, 0.03
216  10:00:03 up 3 days,  5:14,  2 users,  load average: 0.00, 0.00, 0.00
203  10:15:03 up 3 days,  5:32,  3 users,  load average: 0.01, 0.01, 0.00
215  10:30:03 up 3 days,  5:43,  3 users,  load average: 0.01, 0.01, 0.00
219  10:45:12 up 3 days,  5:57,  3 users,  load average: 0.17, 0.14, 0.09
206  11:00:02 up 3 days,  6:16, 10 users,  load average: 0.00, 0.00, 0.02
206  11:15:03 up 3 days,  6:31, 10 users,  load average: 0.00, 0.00, 0.00
218  11:30:02 up 3 days,  6:42,  1 user,  load average: 0.00, 0.00, 0.00
204  11:45:02 up 3 days,  7:02,  1 user,  load average: 0.00, 0.00, 0.10
208  12:00:03 up 3 days,  7:15,  2 users,  load average: 0.21, 0.18, 0.09
224  12:15:13 up 3 days,  7:25,  3 users,  load average: 0.00, 0.03, 0.04
227  12:30:13 up 3 days,  7:39,  3 users,  load average: 0.00, 0.00, 0.00
221  12:45:03 up 3 days,  7:56,  4 users,  load average: 0.04, 0.01, 0.00
219  13:00:03 up 3 days,  8:12,  6 users,  load average: 0.02, 0.02, 0.00
222  13:15:03 up 3 days,  8:26, 11 users,  load average: 0.01, 0.08, 0.09
